Age (days),#ofPosts,Posts/Day,OddsBeingBot
4256,23279,5.469689849624059,0.020440801236199
4124,525,0.1273035887487875,0.0731329456265555
4313,8146,1.8887085555297936,0.0413246168944483
4226,3510,0.8305726455276857,0.0143110695066823
4351,8146,1.87221328430246,0.0583399967888571
4347,23279,5.3551874856222685,0.020440801236199
4370,1178,0.2695652173913043,0.101853892118403
4123,20287,4.92044627698278,0.1262016927673424
4121,8146,1.976704683329289,0.1718986578945457
4264,5086,1.1927767354596623,0.0327384300661002
4261,7557,1.7735273409997654,0.101853892118403
4123,1044,0.2532136793596895,0.0327384300661002
4287,23279,5.430137625379052,0.0367913694619997
4133,3818,0.9237841761432374,0.0078694193249637
4148,16202,3.9059787849566057,0.101853892118403
4127,20625,4.997576932396414,0.0731329456265555
4208,7842,1.863593155893536,0.0913131277277618
4031,5647,1.4008930786405358,0.0023617299174274
4046,10106,2.4977755808205635,0.020440801236199
4055,22780,5.617755856966708,0.0230075361843459
4032,2261,0.5607638888888888,0.0181550917518979
4032,22692,5.627976190476191,0.9181810072016766
4032,7393,1.8335813492063493,0.0181550917518979
4040,14075,3.483910891089109,0.1718986578945457
4030,94,0.0233250620347394,0.0258880560658383
4058,6772,1.6688023656973878,0.0230075361843459
4010,3986,0.9940149625935162,0.2090923401470646
4010,1158,0.2887780548628429,0.3532166701172574
4009,379129,94.56946869543528,0.0520415140659865
4010,1612,0.4019950124688279,0.0463895270160303
4010,15370,3.8329177057356607,0.3813039962963743
4009,20161,5.028934896482913,0.7245079621805472
4010,21279,5.306483790523691,0.0143110695066823
4009,1415,0.3529558493389873,0.0291184655496717
4009,19436,4.848091793464706,0.3001140391389786
4009,145684,36.33923671738588,0.2090923401470646
4009,23153,5.775255674731853,0.0258880560658383
4009,17,0.0042404589673235,0.0817639099069327
4009,57547,14.354452481915688,0.0181550917518979
4008,13089,3.265718562874252,0.0127019043758913
4009,41940,10.461461711149912,0.1262016927673424
4008,7255,1.8101297405189616,0.1262016927673424
4008,10,0.0024950099800399,0.0463895270160303
4009,43630,10.883013220254428,0.101853892118403
4008,3701,0.9234031936127745,0.1553629482594353
4008,958,0.2390219560878243,0.0413246168944483
4008,74719,18.642465069860283,0.941619697303207
4008,11845,2.9553393213572856,0.0258880560658383
4008,29462,7.350798403193612,0.4397462600908242
4008,4561,1.1379740518962076,0.0520415140659865
4008,46667,11.643463073852296,0.0367913694619997
4008,74719,18.642465069860283,0.020440801236199
4008,23063,5.754241516966068,0.0653482233255875
4008,1462,0.3647704590818363,0.5896142788146281
4008,217349,54.22879241516966,0.0463895270160303
4008,2252,0.56187624750499,0.020440801236199
4008,28311,7.063622754491018,0.0463895270160303
4008,3256,0.8123752495009979,0.0181550917518979
4008,17863,4.456836327345309,0.8445407808803314
4007,13014,3.2478163214374844,0.0520415140659865
4007,55,0.0137259795358123,0.1401486810789614
4007,32773,8.178936860494135,0.0143110695066823
4007,98871,24.674569503369103,0.0088718731640876
4007,3655,0.9121537309708012,0.0731329456265555
4007,66937,16.70501622161218,0.3001140391389786
4007,12949,3.2315947092587973,0.0913131277277618
4007,463,0.115547791365111,0.2753456691295903
4006,2602,0.6495257114328508,0.7245079621805472
4006,9488,2.3684473290064902,0.0258880560658383
4006,73661,18.38766849725412,0.2090923401470646
4006,1041,0.2598602096854718,0.0327384300661002
4006,25212,6.293559660509236,0.0181550917518979
4006,3728,0.9306040938592112,0.4697172801728098
4006,8801,2.1969545681477785,0.6466157529466525
4006,40749,10.171992011982027,0.011271607904505
4005,12949,3.233208489388265,0.0161207661475304
4006,58882,14.698452321517726,0.0258880560658383
4006,14043,3.5054917623564648,0.9086259964065888
4005,92124,23.00224719101124,0.0291184655496717
4006,13478,3.3644533200199698,0.0913131277277618
4006,39506,9.861707438841735,0.4102082617202116
4005,632,0.1578027465667915,0.974093441586687
4005,1940,0.4843945068664171,0.1401486810789614
4005,103672,25.885642946317105,0.0413246168944483
4005,10380,2.5917602996254683,0.0520415140659865
4005,80925,20.20599250936329,0.0463895270160303
4005,16522,4.1253433208489385,0.1553629482594353
4004,28311,7.0706793206793215,0.0367913694619997
4004,27947,6.97977022977023,0.0033909156621298
4005,35871,8.956554307116106,0.0100007383768439
4004,310,0.0774225774225774,0.2090923401470646
4004,111071,27.74000999000999,0.2297908319662119
4004,1411,0.3523976023976024,0.0367913694619997
4004,3513,0.8773726273726273,0.0327384300661002
4003,76912,19.213589807644265,0.3813039962963743
4004,31031,7.75,0.020440801236199
4004,40209,10.042207792207792,0.0913131277277618
4003,6259,1.563577317012241,0.2753456691295903
4003,111071,27.74693979515364,0.9346069651652016
4003,29421,7.349737696727455,0.0653482233255875
4003,165354,41.30751936047964,0.3001140391389786
4003,13279,3.317262053459905,0.0583399967888571
4003,165293,41.292280789407954,0.1134595055806983
4003,66,0.0164876342742942,0.9181810072016766
4003,6804,1.6997252060954284,0.0181550917518979
4002,6149,1.5364817591204398,0.0367913694619997
4002,379129,94.73488255872064,0.1553629482594353
4002,790,0.1974012993503248,0.0100007383768439
4002,7232,1.8070964517741133,0.0583399967888571
4002,9050,2.2613693153423293,0.0230075361843459
4003,2108,0.5266050462153385,0.1401486810789614
4001,46296,11.571107223194204,0.101853892118403
4001,64901,16.22119470132467,0.0583399967888571
4002,19305,4.823838080959519,0.1401486810789614
4001,44049,11.0094976255936,0.0181550917518979
4002,2789,0.6969015492253873,0.0817639099069327
4002,16544,4.133933033483259,0.0023617299174274
4002,539,0.1346826586706646,0.0127019043758913
4001,145684,36.41189702574356,0.0230075361843459
4001,4,0.0009997500624843,0.0520415140659865
4001,13789,3.4463884028992746,0.7479760088168506
4000,8299,2.07475,0.3261077721840225
4000,23882,5.9705,0.4397462600908242
4001,57161,14.286678330417397,0.0327384300661002
4001,5500,1.3746563359160209,0.1897988316236788
4000,10307,2.57675,0.1262016927673424
4000,71522,17.8805,0.2090923401470646
3999,7996,1.9994998749687425,0.0127019043758913
3999,8949,2.237809452363091,0.0583399967888571
4000,921,0.23025,0.1897988316236788
4000,2564,0.6409999999999999,0.2297908319662119
3999,3954,0.9887471867966992,0.0069794374708257
3999,7993,1.9987496874218555,0.1553629482594353
3999,66074,16.522630657664415,0.2753456691295903
3999,413,0.1032758189547386,0.0653482233255875
3999,21983,5.497124281070268,0.011271607904505
3998,6904,1.7268634317158582,0.0413246168944483
3999,13954,3.489372343085772,0.0069794374708257
3998,988,0.2471235617808904,0.0520415140659865
